id,name_in_nutrition,calories_kcal,water_g,protein_g,fat_g,carb_g,fiber_g,sugar_g,sodium_mg,potassium_mg,calcium_mg,magnesium_mg,iron_mg,zinc_mg,phosphorus_mg,vitamin_a_iu,vitamin_c_mg,vitamin_e_mg,vitamin_b1_mg,folic_acid_ug,vege_id
1,菠菜,18,93.7,2.2,0.3,2.4,1.9,0,43,510,81,62,2.9,0.7,44,6163,12.1,1.42,0.06,72.9,1
2,蕹菜(土植)(7月取樣),17,94.4,1.9,0.1,2.8,1.8,0,97,181,50,10,1.6,0.2,34,1182,4.9,0.36,0.05,0,2
3,甘藍平均值,23,93.2,1.3,0.1,4.8,1.1,2.7,11,187,47,12,0.4,0.3,30,52,37.2,0.24,0.03,19.9,3
4,白莧菜,17,93.9,1.9,0.3,2.6,2.4,0,20,507,146,46,4.6,0.6,45,2828,12.5,0.13,0.02,0,4
5,茼蒿,16,94.7,1.7,0.3,2.2,1.6,0,69,362,46,16,1.5,0.4,22,4388,10.5,0.44,0.05,95.1,5
6,芥藍菜,20,93.6,1.7,0.3,3.2,1.9,0,27,292,181,31,1.4,0.4,37,7378,51.9,1.34,0.03,58.2,6
7,小白菜(土植)(3月取樣),14,95.3,1.2,0.1,2.4,1.4,0.4,51,256,122,18,1.5,0.3,26,1015,24.2,0.89,0.03,93.3,7
8,青江菜(土植)(3月取樣),13,95.6,1.2,0.1,2.2,1.2,0.4,53,246,93,16,1.4,0.4,26,895,25.1,0.49,0.03,83,8
9,結球白菜平均值,17,95.1,1.2,0.3,2.9,0.9,1.9,24,167,40,10,0.4,0.2,33,34,16.5,0.13,0.03,43,9
10,油菜(有機),13,95,1.3,0.1,2.2,1.5,0.2,24,444,112,22,1.3,0.2,26,2366,13.6,1.41,0.04,49.9,10
11,廣東萵苣,20,94.1,1,0.2,4,1.7,0,11,248,56,16,0.7,0.3,50,455,5.2,0.58,0.05,0,11
12,隼人瓜苗,24,92.2,3.3,0.2,3.5,2.3,0,3,220,43,22,1.4,0.7,70,1667,11.2,0.62,0.06,0,12
13,紅鳳菜,22,92.7,2.1,0.4,3.5,2.6,0,13,312,122,48,6,0.5,29,10129,9.5,0.96,0.03,0,13
14,甘藷葉,28,90.9,3.2,0.3,4.4,3.3,0,39,401,105,35,2.5,0.5,44,5960,26.8,1.09,0.08,69.9,14
15,龍骨瓣莕菜,17,94.7,1.1,0.3,3.1,1.9,0.6,111,229,26,10,3.7,0.6,21,350,7.1,0.24,0,0,15
16,結球萵苣,13,96.1,0.7,0.1,2.8,0.9,1.5,7,145,18,9,0.4,0.2,19,106,2.8,0.18,0.03,19.9,16
17,白菜芽,21,92.9,3.1,0.1,3.2,2.2,1.2,22,300,51,19,0.5,0.5,45,43,24.6,0.59,0.09,12.3,17
